Level;Free;EN;ES
A1;;"I can interact in a simple way provided the other person is prepared to repeat or rephrase things at a slower rate of speech and help me formulate what I'm trying to say.";25
A1;;I can ask and answer simple questions in areas of immediate need or on very familiar topics. ;26
A2;;I can communicate in simple and routine tasks requiring a simple and direct exchange of information on familiar topics and activities. ;27
A2;;I can handle very short social exchanges, even though I can't usually understand enough to keep the conversation going myself. ;28
B1;;I can deal with most situations likely to arise whilst travelling in an area where the language is spoken. ;29
B1;;I can enter unprepared into conversation on topics that are familiar, of personal interest or pertinent to everyday life (e.g. family, hobbies, work, travel and current events). ;30
B2;;I can interact with a degree of fluency and spontaneity that makes regular interaction with native speakers quite possible. ;31
B2;;I can take an active part in discussion in familiar contexts, accounting for and sustaining my views. ;32
C1;;I can express myself fluently and spontaneously without much obvious searching for expressions.;33
C1;;I can use language flexibly and effectively for social and professional purposes. ;34
C1;;I can formulate ideas and opinions with precision and relate my contribution skilfully to those of other speakers. ;35
C2;;I can take part effortlessly in any conversation or discussion and have a good familiarity with idiomatic expressions and colloquialisms.;36
C2;;I can express myself fluently and convey finer shades of meaning precisely. ;37
C2;;If I do have a problem I can backtrack and restructure around the difficulty so smoothly that other people are hardly aware of it. ;38
