Level;Free;EN;ES
A1;;I can recognise familiar words and very basic phrases concerning myself, my family and immediate concrete surroundings when people speak slowly and clearly. ;49
A2;;I can understand phrases and the highest frequency vocabulary related to areas of most immediate personal relevance (e.g. very basic personal and family information, shopping, local area, employment). ;50
A2;;I can catch the main point in short, clear, simple messages and announcements. ;51
B1;;I can understand the main points of clear standard speech on familiar matters regularly encountered in work, school, leisure, etc. ;52
B1;;I can understand the main point of many radio or TV programmes on current affairs or topics of personal or professional interest when the delivery is relatively slow and clear. ;53
B2;;I can understand extended speech and lectures and follow even complex lines of argument provided the topic is reasonably familiar. ;54
B2;;I can understand most TV news and current affairs programmes. I can understand the majority of films in standard dialect. ;55
C1;;I can understand extended speech even when it is not clearly structured and when relationships are only implied and not signalled explicitly. ;56
C1;;I can understand television programmes and films without too much effort. ;57
C2;;"I have no difficulty in understanding any kind of spoken language, whether live or broadcast, even when delivered at fast native speed, provided. 
";58
C2;;I have some time to get familiar with the accent. ;59
