Level;Free;EN;ES
A1;;I can understand familiar names, words and very simple sentences, for example on notices and posters or in catalogues. ;39
A2;;I can read very short, simple texts. ;40
A2;;I can find specific, predictable information in simple everyday material such as advertisements, prospectuses, menus and timetables and I can understand short simple personal letters. ;41
B1;;I can understand texts that consist mainly of high frequency everyday or job-related language. ;42
B1;;I can understand the description of events, feelings and wishes in personal letters. ;43
B2;;I can read articles and reports concerned with contemporary problems in which the writers adopt particular attitudes or viewpoints. ;44
B2;;I can understand contemporary literary prose. ;45
C1;;I can understand long and complex factual and literary texts, appreciating distinctions of style. ;46
C1;;I can understand specialised articles and longer technical instructions, even when they do not relate to my field. ;47
C2;;I can read with ease virtually all forms of the written language, including abstract, structurally or linguistically complex texts such as manuals, specialised articles and literary works. ;48
